"Date","Way","Base amount","Base currency (name)","Base type","Quote amount","Quote currency","Exchange","Sent/Received from","Sent to","Fee amount","Fee currency (name)","Broker","Notes","Sync Base Holding","Leverage Metadata"
"2024-05-25T08:00:36.000Z","BUY",1,"LFL.F (Latam Airlines Group SA)","STOCK",0.48,"EUR","Börse Frankfurt",,,,,,,false,
"2024-05-25T08:01:19.000Z","BUY",1,"BTC (Bitcoin)","CRYPTO",68755.11,"USD","DGA",,,,,,,false,
"2024-05-25T08:01:30.000Z","BUY",1,"BTC (Bitcoin)","CRYPTO",68770.95,"USD","DGA",,,,,,,false,
"2024-05-25T08:01:36.000Z","BUY",1,"BTC (Bitcoin)","CRYPTO",68770.95,"USD","DGA",,,,,,,false,
"2024-05-25T08:02:11.000Z","BUY",1000000000000000,"GOOGL (Alphabet Inc)","STOCK",174990000000000000,"USD","Nasdaq",,,,,,,false,
"2024-05-25T08:02:17.000Z","BUY",10000000000000000000,"GOOGL (Alphabet Inc)","STOCK",1.7499e+21,"USD","Nasdaq",,,,,,,true,
"2024-05-25T08:02:23.000Z","BUY",1,"GOOGL (Alphabet Inc)","STOCK",174.99,"USD","Nasdaq",,,,,,,false,
"2024-05-25T08:02:40.000Z","BUY",1e+24,"META (Meta Platforms Inc)","STOCK",4.7822e+26,"USD","Nasdaq",,,,,,,false,
"2024-05-25T08:02:46.000Z","BUY",1,"META (Meta Platforms Inc)","STOCK",478.22,"USD","Nasdaq",,,,,,,false,
"2024-05-25T08:02:51.000Z","BUY",1,"META (Meta Platforms Inc)","STOCK",478.22,"USD","Nasdaq",,,,,,,false,
"2024-05-25T08:03:35.000Z","BUY",1000000000000000000,"AU (Gold (Non Expiry))","COMMODITY",2.33443e+21,"USD","eToro",,,,,,,false,
"2024-05-25T08:03:41.000Z","BUY",8.999999999999999e+24,"AU (Gold (Non Expiry))","COMMODITY",2.1009869999999996e+28,"USD","eToro",,,,,,,false,
"2024-05-25T08:03:48.000Z","BUY",1e+25,"AU (Gold (Non Expiry))","COMMODITY",2.33443e+28,"USD","eToro",,,,,,,false,
"2024-05-25T08:04:13.000Z","BUY",1e+21,"USDRUB (US Dollar/Russian Ruble)","FOREX",8.96057e+22,"RUB","Xignite",,,,,,,false,
"2024-05-25T08:04:20.000Z","BUY",9.999999999999999e+25,"USDRUB (US Dollar/Russian Ruble)","FOREX",8.960569999999999e+27,"RUB","Xignite",,,,,,,false,
"2024-05-25T08:04:28.000Z","BUY",1,"USDRUB (US Dollar/Russian Ruble)","FOREX",89.6057,"RUB","Xignite",,,,,,,false,
"2024-05-25T08:04:54.000Z","BUY",1,"BSESN (BSESN)","INDEX",75410.39,"INR","Bombay Stock Exchange",,,,,,,false,
"2024-05-25T08:05:00.000Z","BUY",1,"BSESN (BSESN)","INDEX",75410.39,"INR","Bombay Stock Exchange",,,,,,,false,
"2024-05-25T08:05:06.000Z","BUY",1,"BSESN (BSESN)","INDEX",75410.39,"INR","Bombay Stock Exchange",,,,,,,false,
"2024-05-25T08:05:38.000Z","BUY",9.999999999999999e+25,"SPY (SPDR S&P 500 ETF Trust)","FUND",5.294999999999999e+28,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-25T08:05:45.000Z","BUY",1.555e+24,"SPY (SPDR S&P 500 ETF Trust)","FUND",8.233725e+26,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-25T08:05:50.000Z","BUY",1,"SPY (SPDR S&P 500 ETF Trust)","FUND",529.5,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-25T08:06:06.000Z","BUY",1,"DOGE (Dogecoin)","CRYPTO",0.1653,"USD","DGA",,,,,,,false,
"2024-05-25T08:06:12.000Z","BUY",1,"DOGE (Dogecoin)","CRYPTO",0.1654,"USD","DGA",,,,,,,false,
"2024-05-25T08:06:18.000Z","BUY",1,"DOGE (Dogecoin)","CRYPTO",0.1654,"USD","DGA",,,,,,,false,
"2024-05-25T08:07:50.000Z","BUY",1.0000000000000001e+29,"NVDA (NVIDIA Corp)","STOCK",1.06469e+32,"USD","Nasdaq",,,,,,,false,
"2024-05-25T08:07:56.000Z","BUY",1,"NVDA (NVIDIA Corp)","STOCK",1064.69,"USD","Nasdaq",,,,,,,false,
"2024-05-25T08:08:02.000Z","BUY",1,"NVDA (NVIDIA Corp)","STOCK",1064.69,"USD","Nasdaq",,,,,,,false,
"2024-05-25T08:08:47.000Z","BUY",2e+25,"IWM (iShares Russell 2000 ETF)","FUND",4.1088e+27,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-25T08:08:53.000Z","BUY",1,"IWM (iShares Russell 2000 ETF)","FUND",205.44,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-25T08:08:59.000Z","BUY",1,"IWM (iShares Russell 2000 ETF)","FUND",205.44,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-25T08:09:20.000Z","BUY",1e+22,"VOO (Vanguard S&P 500 ETF)","FUND",4.8673e+24,"USD","New York Stock Exchange",,,,,,,true,
"2024-05-25T08:09:26.000Z","BUY",8e+22,"VOO (Vanguard S&P 500 ETF)","FUND",3.89384e+25,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-25T08:09:32.000Z","BUY",7e+26,"VOO (Vanguard S&P 500 ETF)","FUND",3.40711e+29,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-25T08:09:53.000Z","BUY",1e+25,"DIA (SPDR Dow Jones Industrial Average ETF Trust)","FUND",3.9064e+27,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-25T08:10:01.000Z","BUY",9e+22,"DIA (SPDR Dow Jones Industrial Average ETF Trust)","FUND",3.51576e+25,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-25T08:10:06.000Z","BUY",1,"DIA (SPDR Dow Jones Industrial Average ETF Trust)","FUND",390.64,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-25T08:10:23.000Z","BUY",1,"XLI (Industrial Select Sector SPDR Fund)","FUND",124.49,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-25T08:10:32.000Z","BUY",1,"XLI (Industrial Select Sector SPDR Fund)","FUND",124.49,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-25T08:10:40.000Z","BUY",1,"XLI (Industrial Select Sector SPDR Fund)","FUND",124.49,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-25T08:10:55.000Z","BUY",1,"GLD (SPDR Gold Shares)","FUND",215.92,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-25T08:11:00.000Z","BUY",1,"GLD (SPDR Gold Shares)","FUND",215.92,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-25T08:11:06.000Z","BUY",1,"GLD (SPDR Gold Shares)","FUND",215.92,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-25T09:14:04.000Z","BUY",1,"BTC (Bitcoin)","CRYPTO",68926.87,"USD","DGA",,,,,,,false,
"2024-05-25T09:14:14.000Z","BUY",1,"BTC (Bitcoin)","CRYPTO",68926.87,"USD","DGA",,,,,,,false,
"2024-05-25T12:24:14.000Z","BUY",1,"CP (Canadian Pacific Kansas City Ltd)","STOCK",79.85,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-25T13:44:41.000Z","BUY",1e+23,"TSLA (Tesla Inc)","STOCK",1.7924e+25,"USD","Nasdaq",,,,,,,false,
"2024-05-25T13:44:51.000Z","BUY",1e+21,"TSLA (Tesla Inc)","STOCK",1.7924e+23,"USD","Nasdaq",,,,,,,false,
"2024-05-25T13:44:57.000Z","BUY",1,"TSLA (Tesla Inc)","STOCK",179.24,"USD","Nasdaq",,,,,,,false,
"2024-05-25T13:45:34.000Z","BUY",1,"CRO (Cronos)","CRYPTO",0.1212,"USD","DGA",,,,,,,false,
"2024-05-25T13:45:41.000Z","BUY",1,"CRO (Cronos)","CRYPTO",0.1212,"USD","DGA",,,,,,,false,
"2024-05-25T13:45:47.000Z","BUY",1,"CRO (Cronos)","CRYPTO",0.1212,"USD","DGA",,,,,,,false,
"2024-05-27T01:53:11.000Z","BUY",1,"RUT (Russell 2000 Index)","INDEX",2069.1,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-27T01:53:23.000Z","BUY",1,"RUT (Russell 2000 Index)","INDEX",2069.1,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-27T01:53:32.000Z","BUY",1,"RUT (Russell 2000 Index)","INDEX",2069.1,"USD","New York Stock Exchange",,,,,,,false,
