"Date","Way","Base amount","Base currency (name)","Base type","Quote amount","Quote currency","Exchange","Sent/Received from","Sent to","Fee amount","Fee currency (name)","Broker","Notes","Sync Base Holding","Leverage Metadata"
"2024-12-25T10:09:35.000Z","BUY",1,"BTC (Bitcoin)","CRYPTO",98264.49,"USD","DGA",,,,,,,false,
"2024-12-25T10:10:12.000Z","BUY",1,"BTC (Bitcoin)","CRYPTO",98279.17,"USD","DGA",,,,,,,false,
"2024-12-25T10:10:51.000Z","BUY",1,"BTC (Bitcoin)","CRYPTO",98393.54,"USD","DGA",,,,,,,false,
"2024-12-25T10:11:57.000Z","BUY",1,"ETH (Ethereum)","CRYPTO",3505.43,"USD","DGA",,,,,,,false,
"2024-12-25T10:13:10.000Z","BUY",1,"USDT (Tether)","CRYPTO",0.9997,"USD","DGA",,,,,,,false,
"2024-12-25T10:14:19.000Z","BUY",1,"DOGE (Dogecoin)","CRYPTO",0.3357,"USD","DGA",,,,,,,false,
"2024-12-25T10:53:06.000Z","BUY",1,"AMZN (Amazon.com Inc)","STOCK",229.05,"USD","Nasdaq",,,,,,,false,
"2024-12-25T10:53:28.000Z","BUY",1,"AMZN (Amazon.com Inc)","STOCK",229.05,"USD","Nasdaq",,,,,,,false,
"2024-12-25T10:56:16.000Z","BUY",1,"AMZN (Amazon.com Inc)","STOCK",229.05,"USD","Nasdaq",,,,,,,false,
"2024-12-26T03:02:12.000Z","BUY",1,"AMZN (Amazon.com Inc)","STOCK",229.05,"USD","Nasdaq",,,,,,,false,
"2024-12-26T03:02:26.000Z","BUY",1,"AMZN (Amazon.com Inc)","STOCK",229.05,"USD","Nasdaq",,,,,,,false,
"2024-12-26T03:03:03.000Z","BUY",1,"USDT (Tether)","CRYPTO",0.9998,"USD","DGA",,,,,,,false,
"2024-12-26T03:03:14.000Z","BUY",1,"USDT (Tether)","CRYPTO",0.9998,"USD","DGA",,,,,,,false,
"2024-12-26T03:03:34.000Z","BUY",1,"XRP (XRP)","CRYPTO",2.27,"USD","DGA",,,,,,,false,
"2024-12-26T03:03:45.000Z","BUY",1,"XRP (XRP)","CRYPTO",2.27,"USD","DGA",,,,,,,false,
"2024-12-26T03:03:56.000Z","BUY",1,"XRP (XRP)","CRYPTO",2.27,"USD","DGA",,,,,,,false,
"2024-12-26T03:04:14.000Z","BUY",1,"BNB (Binance Coin)","CRYPTO",704.09,"USD","DGA",,,,,,,false,
"2024-12-26T03:04:27.000Z","BUY",1,"BNB (Binance Coin)","CRYPTO",703.93,"USD","DGA",,,,,,,false,
"2024-12-26T03:04:37.000Z","BUY",1,"BNB (Binance Coin)","CRYPTO",704.02,"USD","DGA",,,,,,,false,
"2024-12-26T03:05:01.000Z","BUY",1,"SOL* (Solana)","CRYPTO",196.39,"USD","DGA",,,,,,,false,
"2024-12-26T03:05:12.000Z","BUY",1,"SOL* (Solana)","CRYPTO",196.35,"USD","DGA",,,,,,,false,
"2024-12-26T03:05:23.000Z","BUY",1,"SOL* (Solana)","CRYPTO",196.41,"USD","DGA",,,,,,,false,
"2024-12-26T03:05:45.000Z","BUY",1,"DOGE (Dogecoin)","CRYPTO",0.3291,"USD","DGA",,,,,,,false,
"2024-12-26T03:05:57.000Z","BUY",1,"DOGE (Dogecoin)","CRYPTO",0.329,"USD","DGA",,,,,,,false,
"2024-12-26T03:07:46.000Z","BUY",1,"ADA (Cardano)","CRYPTO",0.904,"USD","DGA",,,,,,,false,
"2024-12-26T03:07:58.000Z","BUY",1,"ADA (Cardano)","CRYPTO",0.9038,"USD","DGA",,,,,,,false,
"2024-12-26T03:08:09.000Z","BUY",1,"ADA (Cardano)","CRYPTO",0.9026,"USD","DGA",,,,,,,false,
"2024-12-26T03:08:34.000Z","BUY",1,"USDC (USD Coin)","CRYPTO",1,"USD","DGA",,,,,,,false,
"2024-12-26T03:08:46.000Z","BUY",1,"USDC (USD Coin)","CRYPTO",1,"USD","DGA",,,,,,,false,
"2024-12-26T03:08:56.000Z","BUY",1,"USDC (USD Coin)","CRYPTO",1,"USD","DGA",,,,,,,false,
"2024-12-26T03:09:15.000Z","BUY",1,"TRX (TRON)","CRYPTO",0.2567,"USD","DGA",,,,,,,false,
"2024-12-26T03:09:27.000Z","BUY",1,"TRX (TRON)","CRYPTO",0.2567,"USD","DGA",,,,,,,false,
"2024-12-26T03:09:37.000Z","BUY",1,"TRX (TRON)","CRYPTO",0.2567,"USD","DGA",,,,,,,false,
"2024-12-26T03:10:00.000Z","BUY",1,"AVAX (Avalanche)","CRYPTO",39.61,"USD","DGA",,,,,,,false,
"2024-12-26T03:10:11.000Z","BUY",1,"AVAX (Avalanche)","CRYPTO",39.62,"USD","DGA",,,,,,,false,
"2024-12-26T03:10:22.000Z","BUY",1,"AVAX (Avalanche)","CRYPTO",39.61,"USD","DGA",,,,,,,false,
"2024-12-26T03:10:44.000Z","BUY",1,"LINK (ChainLink)","CRYPTO",23.97,"USD","DGA",,,,,,,false,
"2024-12-26T03:10:56.000Z","BUY",1,"LINK (ChainLink)","CRYPTO",23.98,"USD","DGA",,,,,,,false,
"2024-12-26T03:11:06.000Z","BUY",1,"LINK (ChainLink)","CRYPTO",23.99,"USD","DGA",,,,,,,false,
"2024-12-26T03:11:26.000Z","BUY",1,"TONCOIN (Toncoin)","CRYPTO",5.89,"USD","DGA",,,,,,,false,
"2024-12-26T03:11:37.000Z","BUY",1,"TONCOIN (Toncoin)","CRYPTO",5.89,"USD","DGA",,,,,,,false,
"2024-12-26T03:11:47.000Z","BUY",1,"TONCOIN (Toncoin)","CRYPTO",5.89,"USD","DGA",,,,,,,false,
"2024-12-26T03:12:05.000Z","BUY",1,"WSTETH* (Lido wstETH)","CRYPTO",4107.27,"USD","DGA",,,,,,,false,
"2024-12-26T03:12:18.000Z","BUY",1,"WSTETH* (Lido wstETH)","CRYPTO",4107.28,"USD","DGA",,,,,,,false,
"2024-12-26T03:12:29.000Z","BUY",1,"WSTETH* (Lido wstETH)","CRYPTO",4107.17,"USD","DGA",,,,,,,false,
"2024-12-26T03:12:48.000Z","BUY",1,"SHIB (SHIBA INU)","CRYPTO",0.00002246,"USD","DGA",,,,,,,false,
"2024-12-26T03:12:59.000Z","BUY",1,"SHIB (SHIBA INU)","CRYPTO",0.00002246,"USD","DGA",,,,,,,false,
"2024-12-26T03:13:10.000Z","BUY",1,"SHIB (SHIBA INU)","CRYPTO",0.00002246,"USD","DGA",,,,,,,false,
"2024-12-28T12:18:24.000Z","BUY",1,"WBTC* (Wrapped Bitcoin)","CRYPTO",94528.4,"USD","DGA",,,,,,,false,
"2024-12-28T12:19:04.000Z","BUY",1,"WBTC* (Wrapped Bitcoin)","CRYPTO",94473.36,"USD","DGA",,,,,,,false,
"2024-12-28T12:19:58.000Z","BUY",1,"WBTC* (Wrapped Bitcoin)","CRYPTO",94471.81,"USD","DGA",,,,,,,false,
