"Date","Way","Base amount","Base currency (name)","Base type","Quote amount","Quote currency","Exchange","Sent/Received from","Sent to","Fee amount","Fee currency (name)","Broker","Notes","Sync Base Holding","Leverage Metadata"
"2024-04-18T09:43:58.000Z","BUY",1e+28,"700.HK (Tencent Holdings Ltd.)","STOCK",3.0586e+30,"HKD","Hong Kong Exchange",,,,,,,false,
"2024-04-18T09:44:09.000Z","BUY",10000000000000000000,"700.HK (Tencent Holdings Ltd.)","STOCK",3.0586e+21,"HKD","Hong Kong Exchange",,,,,,,true,
"2024-04-18T09:44:20.000Z","BUY",1,"700.HK (Tencent Holdings Ltd.)","STOCK",305.86,"HKD","Hong Kong Exchange",,,,,,,false,
"2024-10-01T04:14:02.000Z","BUY",1,"700.HK (Tencent Holdings Ltd.)","STOCK",444.87,"HKD","Hong Kong Exchange",,,,,,,false,
"2024-10-01T04:14:17.000Z","BUY",1,"700.HK (Tencent Holdings Ltd.)","STOCK",444.87,"HKD","Hong Kong Exchange",,,,,,,false,
"2024-10-03T08:05:13.000Z","BUY",1e+25,"ASME.DE (ASML Holding NV)","STOCK",7.472e+27,"EUR","Xetra",,,,,,,false,
"2024-10-03T08:05:23.000Z","BUY",1,"ASME.DE (ASML Holding NV)","STOCK",747.2,"EUR","Xetra",,,,,,,false,
"2024-10-03T08:05:30.000Z","BUY",1,"ASME.DE (ASML Holding NV)","STOCK",747.2,"EUR","Xetra",,,,,,,false,
"2024-10-03T08:05:42.000Z","BUY",1,"ASME.DE (ASML Holding NV)","STOCK",747.2,"EUR","Xetra",,,,,,,false,
"2024-10-03T08:05:49.000Z","BUY",1,"ASME.DE (ASML Holding NV)","STOCK",747.2,"EUR","Xetra",,,,,,,false,
"2024-10-03T08:06:18.000Z","BUY",1e+21,"CRWD (Crowdstrike Holdings Inc)","STOCK",2.8024e+23,"USD","Nasdaq",,,,,,,true,
"2024-10-03T08:06:26.000Z","BUY",1,"CRWD (Crowdstrike Holdings Inc)","STOCK",280.24,"USD","Nasdaq",,,,,,,false,
"2024-10-03T08:06:34.000Z","BUY",1,"CRWD (Crowdstrike Holdings Inc)","STOCK",280.24,"USD","Nasdaq",,,,,,,false,
