"Date","Way","Base amount","Base currency (name)","Base type","Quote amount","Quote currency","Exchange","Sent/Received from","Sent to","Fee amount","Fee currency (name)","Broker","Notes","Sync Base Holding","Leverage Metadata"
"2024-05-25T13:46:39.000Z","BUY",1,"BTC (Bitcoin)","CRYPTO",69053.37,"USD","DGA",,,,,,,false,
"2024-05-25T13:46:46.000Z","BUY",1,"BTC (Bitcoin)","CRYPTO",69063.23,"USD","DGA",,,,,,,false,
"2024-05-25T13:46:52.000Z","BUY",1,"BTC (Bitcoin)","CRYPTO",69064.95,"USD","DGA",,,,,,,false,
"2024-05-25T13:47:47.000Z","BUY",1,"BTC (Bitcoin)","CRYPTO",69062.93,"USD","DGA",,,,,,,false,
"2024-05-25T13:47:47.000Z","BUY",1,"BTC (Bitcoin)","CRYPTO",69062.93,"USD","DGA",,,,,,,false,
"2024-05-25T13:54:54.000Z","BUY",1000000000,"AU (Gold (Non Expiry))","COMMODITY",2334430000000,"USD","eToro",,,,,,,false,
"2024-05-25T13:55:01.000Z","BUY",1000000000000000000,"AU (Gold (Non Expiry))","COMMODITY",2.33443e+21,"USD","eToro",,,,,,,false,
"2024-05-25T13:55:07.000Z","BUY",1,"AU (Gold (Non Expiry))","COMMODITY",2334.43,"USD","eToro",,,,,,,false,
"2024-05-25T13:55:07.000Z","BUY",1,"AU (Gold (Non Expiry))","COMMODITY",2334.43,"USD","eToro",,,,,,,false,
"2024-05-25T13:57:04.000Z","BUY",10000,"BTC (Bitcoin)","CRYPTO",690427300,"USD","DGA",,,,,,,false,
"2024-05-25T13:57:12.000Z","BUY",1000,"BTC (Bitcoin)","CRYPTO",69034090,"USD","DGA",,,,,,,false,
"2024-05-25T13:57:22.000Z","BUY",100,"BTC (Bitcoin)","CRYPTO",6903126,"USD","DGA",,,,,,,false,
"2024-05-25T13:57:33.000Z","BUY",10,"BTC (Bitcoin)","CRYPTO",690288.2,"USD","DGA",,,,,,,false,
"2024-05-25T13:57:43.000Z","BUY",1,"BTC (Bitcoin)","CRYPTO",69025.16,"USD","DGA",,,,,,,false,
"2024-05-25T14:02:53.000Z","BUY",9,"BTC (Bitcoin)","CRYPTO",622254.33,"USD","DGA",,,,,,,false,
"2024-05-25T14:03:02.000Z","BUY",1,"BTC (Bitcoin)","CRYPTO",69139.37,"USD","DGA",,,,,,,false,
"2024-05-25T14:13:05.000Z","BUY",1,"BTC (Bitcoin)","CRYPTO",69128.24,"USD","DGA",,,,,,,false,
"2024-05-25T14:13:13.000Z","BUY",1,"BTC (Bitcoin)","CRYPTO",69133.54,"USD","DGA",,,,,,,false,
"2024-05-25T14:13:20.000Z","BUY",1,"BTC (Bitcoin)","CRYPTO",69134.18,"USD","DGA",,,,,,,false,
"2024-05-25T14:16:57.000Z","TRANSFER",1,"BTC (Bitcoin)","CRYPTO",,,"Bitfinex","EXCHANGE","MY_WALLET",,,,,false,
"2024-05-25T14:17:05.000Z","TRANSFER",1,"BTC (Bitcoin)","CRYPTO",,,"Binance","EXCHANGE","MY_WALLET",,,,,false,
