"Date","Way","Base amount","Base currency (name)","Base type","Quote amount","Quote currency","Exchange","Sent/Received from","Sent to","Fee amount","Fee currency (name)","Broker","Notes","Sync Base Holding","Leverage Metadata"
"2024-05-27T10:22:23.000Z","BUY",1,"BTC (Bitcoin)","CRYPTO",68554.87,"USD","DGA",,,,,,,false,
"2024-05-27T10:22:34.000Z","BUY",1,"BTC (Bitcoin)","CRYPTO",68545.97,"USD","DGA",,,,,,,false,
"2024-05-27T10:22:42.000Z","BUY",1,"BTC (Bitcoin)","CRYPTO",68545.97,"USD","DGA",,,,,,,false,
"2024-05-27T11:42:27.000Z","BUY",1,"LEO (BNY Mellon Strategic Municipals Inc)","FUND",5.96,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-27T11:42:34.000Z","BUY",1,"LEO (BNY Mellon Strategic Municipals Inc)","FUND",5.96,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-27T11:42:43.000Z","BUY",1,"LEO (BNY Mellon Strategic Municipals Inc)","FUND",5.96,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-27T11:42:51.000Z","BUY",1,"LEO (BNY Mellon Strategic Municipals Inc)","FUND",5.96,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-27T11:42:58.000Z","BUY",1,"LEO (BNY Mellon Strategic Municipals Inc)","FUND",5.96,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-27T11:43:51.000Z","BUY",1,"LEO* (UNUS SED LEO)","CRYPTO",5.94,"USD","DGA",,,,,,,false,
"2024-05-27T11:43:59.000Z","BUY",1,"LEO* (UNUS SED LEO)","CRYPTO",5.94,"USD","DGA",,,,,,,false,
"2024-05-27T11:44:06.000Z","BUY",1,"LEO* (UNUS SED LEO)","CRYPTO",5.99,"USD","DGA",,,,,,,false,
"2024-05-27T11:44:13.000Z","BUY",1,"LEO* (UNUS SED LEO)","CRYPTO",5.99,"USD","DGA",,,,,,,false,
"2024-05-27T11:44:22.000Z","BUY",1,"LEO* (UNUS SED LEO)","CRYPTO",5.99,"USD","DGA",,,,,,,false,
"2024-05-27T11:44:43.000Z","BUY",1,"LEO (LEOcoin)","CRYPTO",5.77,"USD","DGA",,,,,,,false,
"2024-05-27T11:44:51.000Z","BUY",1,"LEO (LEOcoin)","CRYPTO",5.77,"USD","DGA",,,,,,,false,
"2024-05-27T11:44:57.000Z","BUY",1,"LEO (LEOcoin)","CRYPTO",5.77,"USD","DGA",,,,,,,false,
"2024-05-27T11:45:05.000Z","BUY",1,"LEO (LEOcoin)","CRYPTO",5.77,"USD","DGA",,,,,,,false,
"2024-05-27T11:45:13.000Z","BUY",1,"LEO (LEOcoin)","CRYPTO",5.77,"USD","DGA",,,,,,,false,
"2024-05-27T11:46:20.000Z","BUY",1,"LIII (Leo Holdings III Corp - Ordinary Shares - Class A)","STOCK",9.54,"USD","New York Stock Exchange",,,,,,,false,
"2024-05-27T11:46:31.000Z","BUY",1,"LIII (Leo Holdings III Corp - Ordinary Shares - Class A)","STOCK",9.54,"USD","New York Stock Exchange",,,,,,,false,
